,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity
52,13.82,1.75,2.42,14.0,111.0,3.88,3.74,0.32,1.87,7.05
53,13.77,1.9,2.68,17.1,115.0,3.0,2.79,0.39,1.68,6.3
54,13.74,1.67,2.25,16.4,118.0,2.6,2.9,0.21,1.62,5.85
55,13.56,1.73,2.46,20.5,116.0,2.96,2.78,0.2,2.45,6.25
56,14.22,1.7,2.3,16.3,118.0,3.2,3.0,0.26,2.03,6.38
57,13.29,1.97,2.68,16.8,102.0,3.0,3.23,0.31,1.66,6.0
58,13.72,1.43,2.5,16.7,108.0,3.4,3.67,0.19,2.04,6.8
59,12.37,0.94,1.36,10.6,88.0,1.98,0.57,0.28,0.42,1.95
60,12.33,1.1,2.28,16.0,101.0,2.05,1.09,0.63,0.41,3.27
61,12.64,1.36,2.02,16.8,100.0,2.02,1.41,0.53,0.62,5.75
62,13.67,1.25,1.92,18.0,94.0,2.1,1.79,0.32,0.73,3.8
63,12.37,1.13,2.16,19.0,87.0,3.5,3.1,0.19,1.87,4.45
64,12.17,1.45,2.53,19.0,104.0,1.89,1.75,0.45,1.03,2.95
65,12.37,1.21,2.56,18.1,98.0,2.42,2.65,0.37,2.08,4.6
66,13.11,1.01,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3
67,12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68
68,13.34,0.94,2.36,17.0,110.0,2.53,1.3,0.55,0.42,3.17
69,12.21,1.19,1.75,16.8,151.0,1.85,1.28,0.14,2.5,2.85
70,12.29,1.61,2.21,20.4,103.0,1.1,1.02,0.37,1.46,3.05
71,,1.51,2.67,25.0,86.0,2.95,2.86,0.21,1.87,3.38
72,13.49,1.66,2.24,24.0,87.0,1.88,1.84,0.27,1.03,3.74
73,12.99,1.67,2.6,30.0,139.0,3.3,2.89,0.21,1.96,3.35
74,11.96,1.09,2.3,21.0,101.0,3.38,2.14,0.13,1.65,3.21
75,11.66,1.88,1.92,16.0,97.0,1.61,1.57,0.34,1.15,3.8
76,13.03,0.9,1.71,16.0,86.0,1.95,2.03,0.24,1.46,4.6
77,11.84,2.89,2.23,18.0,112.0,1.72,1.32,0.43,0.95,2.65
78,12.33,0.99,1.95,14.8,136.0,1.9,1.85,0.35,2.76,3.4
79,12.7,3.87,2.4,23.0,101.0,2.83,2.55,0.43,1.95,2.57
80,12.0,0.92,2.0,19.0,86.0,2.42,2.26,0.3,1.43,2.5
81,12.72,1.81,2.2,18.8,86.0,2.2,2.53,0.26,1.77,3.9
82,12.08,1.13,2.51,24.0,78.0,2.0,1.58,0.4,1.4,2.2
83,13.05,3.86,2.32,22.5,85.0,1.65,1.59,0.61,1.62,4.8
84,11.84,0.89,2.58,18.0,94.0,2.2,2.21,0.22,2.35,3.05
85,12.67,0.98,2.24,18.0,99.0,2.2,1.94,0.3,1.46,2.62
86,12.16,1.61,2.31,22.8,90.0,1.78,1.69,0.43,1.56,2.45
87,11.65,1.67,2.62,26.0,88.0,1.92,1.61,0.4,1.34,2.6
88,11.64,2.06,2.46,21.6,84.0,1.95,1.69,0.48,1.35,2.8
89,12.08,1.33,2.3,23.6,70.0,2.2,1.59,0.42,1.38,1.74
90,12.08,1.83,2.32,18.5,81.0,1.6,1.5,0.52,1.64,2.4
91,12.0,1.51,2.42,22.0,86.0,1.45,1.25,0.5,1.63,3.6
92,12.69,1.53,2.26,20.7,80.0,1.38,1.46,0.58,1.62,3.05
93,12.29,2.83,2.22,18.0,88.0,2.45,2.25,0.25,1.99,2.15
94,11.62,1.99,2.28,18.0,98.0,3.02,2.26,0.17,1.35,3.25
95,12.47,,2.2,19.0,162.0,2.5,2.27,0.32,3.28,2.6
96,11.81,2.12,2.74,21.5,134.0,1.6,0.99,0.14,1.56,2.5
97,12.29,1.41,1.98,16.0,85.0,2.55,2.5,0.29,1.77,2.9
98,12.37,1.07,2.1,18.5,88.0,3.52,3.75,0.24,1.95,4.5
99,12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3
100,12.08,2.08,1.7,17.5,97.0,2.23,2.17,0.26,1.4,3.3
101,12.6,1.34,1.9,18.5,88.0,1.45,1.36,0.29,1.35,2.45
102,12.34%,2.45,,21.0,98.0,2.56,2.11,0.34,1.31,2.8
103,11.82,1.72,1.88,19.5,86.0,2.5,1.64,0.37,1.42,2.06
104,12.51,1.73,1.98,20.5,85.0,2.2,1.92,0.32,1.48,2.94
105,12.42,2.55,2.27,22.0,90.0,1.68,1.84,0.66,1.42,2.7
106,12.25,1.73,2.12,19.0,80.0,1.65,2.03,0.37,1.63,3.4
107,12.72%,1.75,,22.5,84.0,1.38,1.76,0.48,1.63,3.3
108,12.22,1.29,1.94,19.0,92.0,2.36,2.04,0.39,2.08,2.7
109,11.61,@@@,2.7,20.0,94.0,2.74,2.92,0.29,2.49,2.65
110,11.46,3.74,1.82,19.5,107.0,3.18,2.58,0.24,3.58,2.9
111,12.52,2.43,2.17,21.0,88.0,2.55,2.27,0.26,1.22,2.0
112,11.76,2.68,2.92,20.0,103.0,1.75,2.03,0.6,1.05,3.8
113,11.41,0.74,2.5,21.0,88.0,2.48,2.01,0.42,1.44,3.08
114,12.08,1.39,2.5,22.5,84.0,2.56,2.29,0.43,1.04,2.9
115,11.03%,1.51,,21.5,85.0,2.46,2.17,0.52,2.01,1.9
116,11.82,1.47,1.99,20.8,86.0,1.98,1.6,0.3,1.53,1.95
117,12.42,1.61,2.19,22.5,108.0,2.0,2.09,0.34,1.61,2.06
118,,3.43,1.98,16.0,80.0,1.63,1.25,0.43,0.83,3.4
119,12.0,3.43,2.0,19.0,87.0,2.0,1.64,0.37,1.87,1.28
120,11.45,2.4,2.42,20.0,96.0,2.9,2.79,0.32,1.83,3.25
121,11.56,2.05,3.23,28.5,119.0,3.18,5.08,0.47,1.87,6.0
122,12.42,4.43,2.73,26.5,102.0,2.2,2.13,0.43,1.71,2.08
123,13.05,5.8,2.13,21.5,86.0,2.62,2.65,0.3,2.01,2.6
124,11.87,4.31,2.39,21.0,82.0,2.86,3.03,0.21,2.91,2.8
125,12.07,2.16,2.17,21.0,85.0,2.6,2.65,0.37,1.35,2.76
126,12.43,1.53,2.29,21.5,86.0,2.74,3.15,0.39,1.77,3.94
127,11.79,2.13,2.78,28.5,92.0,2.13,2.24,0.58,1.76,3.0
128,12.37,@@@,2.3,24.5,88.0,2.22,2.45,0.4,1.9,2.12
129,12.04,4.3,2.38,22.0,80.0,2.1,1.75,0.42,1.35,2.6
130,12.86,1.35,2.32,18.0,122.0,1.51,1.25,0.21,0.94,4.1
131,12.88,2.99,2.4,20.0,104.0,1.3,1.22,0.24,0.83,5.4
132,12.81,2.31,2.4,24.0,98.0,1.15,1.09,0.27,0.83,5.7
133,12.7,3.55,2.36,21.5,106.0,1.7,1.2,0.17,0.84,5.0
134,12.51,1.24,2.25,17.5,85.0,2.0,0.58,0.6,1.25,5.45
135,12.6,2.46,2.2,18.5,94.0,1.62,0.66,0.63,0.94,7.1
136,12.25,4.72,2.54,21.0,89.0,1.38,0.47,0.53,0.8,3.85
137,12.53,5.51,2.64,25.0,96.0,1.79,0.6,0.63,1.1,5.0
138,13.49,3.59,2.19,19.5,88.0,1.62,0.48,0.58,0.88,5.7
139,12.84,2.96,2.61,24.0,101.0,2.32,0.6,0.53,0.81,4.92
140,12.93,2.81,2.7,21.0,96.0,1.54,0.5,0.53,0.75,4.6
141,13.36,2.56,2.35,20.0,89.0,1.4,0.5,0.37,0.64,5.6
142,13.52,3.17,2.72,23.5,97.0,1.55,0.52,0.5,0.55,4.35
143,13.62,,2.35,20.0,92.0,2.0,0.8,0.47,1.02,4.4
144,12.25,3.88,2.2,18.5,112.0,1.38,0.78,0.29,1.14,8.21
145,13.16,3.57,2.15,21.0,102.0,1.5,0.55,0.43,1.3,4.0
146,13.88,5.04,2.23,20.0,80.0,0.98,0.34,0.4,0.68,4.9
147,12.87,4.61,2.48,21.5,86.0,1.7,0.65,0.47,0.86,7.65
148,13.32,3.24,2.38,21.5,92.0,1.93,0.76,0.45,1.25,8.42
149,13.08,3.9,2.36,21.5,113.0,1.41,1.39,0.34,1.14,9.4
150,???,3.12,2.62,24.0,123.0,1.4,1.57,0.22,1.25,8.6
151,12.79,2.67,2.48,22.0,112.0,1.48,1.36,0.24,1.26,10.8
152,13.11,1.9,2.75,25.5,116.0,2.2,1.28,0.26,1.56,7.1
153,13.23,3.3,2.28,18.5,98.0,1.8,0.83,0.61,1.87,10.52
154,12.58,1.29,2.1,20.0,103.0,1.48,0.58,0.53,1.4,7.6
155,13.17,5.19,2.32,22.0,93.0,1.74,0.63,0.61,1.55,7.9
156,13.84,4.12,2.38,19.5,89.0,1.8,0.83,0.48,1.56,9.01
157,12.45,3.03,2.64,27.0,97.0,1.9,0.58,0.63,1.14,7.5
158,14.34,1.68,2.7,25.0,98.0,2.8,1.31,0.53,2.7,13.0
159,13.48,@@@,2.64,22.5,89.0,2.6,1.1,0.52,2.29,11.75
160,12.36,3.83,2.38,21.0,88.0,2.3,0.92,0.5,1.04,7.65
161,13.69,3.26,2.54,20.0,107.0,1.83,0.56,0.5,0.8,5.88
162,12.85,3.27,2.58,22.0,106.0,1.65,0.6,0.6,0.96,5.58
163,12.96,3.45,2.35,18.5,106.0,1.39,0.7,0.4,0.94,5.28
164,13.78%,2.76,,22.0,90.0,1.35,0.68,0.41,1.03,9.58
165,13.73,4.36,2.26,22.5,88.0,1.28,0.47,0.52,1.15,6.62
166,13.45,3.7,2.6,23.0,111.0,1.7,0.92,0.43,1.46,10.68
167,12.82,3.37,2.3,19.5,88.0,1.48,0.66,0.4,0.97,10.26
168,13.58,2.58,2.69,24.5,105.0,1.55,0.84,0.39,1.54,8.66
169,13.4,4.6,2.86,25.0,112.0,1.98,0.96,0.27,1.11,8.5
170,12.2,3.03,2.32,19.0,96.0,1.25,0.49,0.4,0.73,5.5
171,12.77,2.39,2.28,19.5,86.0,1.39,0.51,0.48,0.64,9.899999
172,14.16,2.51,2.48,20.0,91.0,1.68,0.7,0.44,1.24,9.7
173,13.71,5.65,2.45,20.5,95.0,1.68,0.61,0.52,1.06,7.7
174,13.4,3.91,2.48,23.0,102.0,1.8,0.75,0.43,1.41,7.3
175,13.27,4.28,2.26,20.0,120.0,1.59,0.69,0.43,1.35,10.2
176,13.17,2.59,2.37,20.0,120.0,1.65,0.68,0.53,1.46,9.3
177,14.13,4.1,2.74,24.5,96.0,2.05,0.76,0.56,1.35,9.2
